B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDWI,MNDWI,NDMI,NDVI,GNDVI,NPCRI,NDRE,NDBI,EVI,SAVI,ARVI,SLAVI,IBI,BSI,AVI,MSAVI
0.38395765,0.37698746,0.33901194,0.37354282,0.43573862,0.45778427,0.48467144,0.46928373,0.49497005,0.3856669,0.53834635,0.59062976,0.5599263,0.44441703,0.46165365,0.43062106,0.53226876,0.44007376,0.49532735,0.35748914,0.41129303,0.13710588,0.54255134,0.43999267,0.43446574,0.3047729
0.28023207,0.29696652,0.29940376,0.312303,0.3978012,0.4363248,0.41932482,0.44994482,0.424119,0.31702635,0.5093045,0.57717705,0.5622572,0.43817925,0.49069548,0.48056602,0.5431009,0.43774283,0.49520436,0.33855566,0.3803686,0.13633165,0.5154964,0.46962613,0.36071402,0.28430274
0.526873,0.52594143,0.5191652,0.56026417,0.59507585,0.610761,0.58951557,0.6205791,0.7075233,0.5941481,0.5812919,0.5642976,0.5039748,0.3656827,0.41870806,0.45933148,0.46540138,0.4960252,0.49521756,0.25301662,0.35131633,0.10789702,0.48086503,0.49111825,0.39648217,0.21185847
0.59995925,0.6008368,0.5919932,0.6000901,0.6311035,0.644044,0.6767823,0.6514793,0.7578843,0.64446515,0.5801598,0.57943714,0.5291708,0.3675746,0.41984025,0.45969093,0.48750305,0.47082916,0.4952482,0.2600083,0.3520907,0.113607414,0.49891654,0.4769963,0.45816144,0.22028017
0.28959692,0.30585775,0.32325384,0.37434334,0.45215237,0.48773372,0.44972342,0.5132167,0.54847866,0.4319702,0.49743098,0.499341,0.49701092,0.435646,0.502569,0.49205068,0.5079647,0.5029891,0.4952009,0.34032324,0.3728874,0.11911822,0.4594213,0.5166271,0.38919184,0.28746215
0.4617264,0.47280335,0.48083475,0.5089808,0.54929286,0.56346685,0.5345086,0.5587787,0.63241374,0.52108663,0.5783243,0.5708347,0.50859815,0.35872352,0.42167565,0.47384003,0.46487433,0.49140188,0.4951724,0.23959629,0.33872744,0.10756365,0.47655326,0.49837184,0.3424108,0.19810875
0.58835506,0.5788703,0.57261497,0.5811778,0.6184061,0.63300174,0.6312878,0.62940776,0.70412886,0.62020826,0.59001255,0.5796202,0.5302841,0.35530472,0.40998748,0.45608532,0.47553107,0.4697159,0.49522704,0.23835817,0.34795287,0.11138454,0.4987324,0.47380558,0.39418173,0.19876118
0.4389251,0.43221757,0.40374786,0.44268775,0.49793538,0.53211105,0.5518792,0.54548323,0.57230145,0.42592055,0.5408903,0.6018811,0.5553545,0.42894045,0.45910972,0.44131294,0.5195589,0.44464555,0.49532357,0.3449041,0.39644185,0.13251598,0.53007984,0.44960743,0.4831053,0.29621708
0.379886,0.40125522,0.41183987,0.4267774,0.48988336,0.52658993,0.5109342,0.53649694,0.55310744,0.43167937,0.5414778,0.57685095,0.5397747,0.39647084,0.4585222,0.48439473,0.50675654,0.46022525,0.49519235,0.29379377,0.3535363,0.121841796,0.49583423,0.48680237,0.39684042,0.24762368
0.39759773,0.39288703,0.38436967,0.40866563,0.47264376,0.50007814,0.48570544,0.5165274,0.5315682,0.40940025,0.55037093,0.58570147,0.5356316,0.40291977,0.4496291,0.4543241,0.50448364,0.4643684,0.4952321,0.30047452,0.37439173,0.12220198,0.5049979,0.4697225,0.3842621,0.25283596
